filename,year,strongest_topic,strongest_topic_prob
20011460-R11.txt,2021,0,0.6491581
05081070-n04-e.txt,2006,4,0.49477443
PADI-ND-2-325-L.txt,1991,1,0.5787341
20071400-M06.txt,2021,8,0.47829452
PADI-NB-2-821-L.txt,1989,0,0.28876454
0203114.txt,2002,1,0.52357715
16023770-w10.txt,2017,12,0.4754279
18020080-Q07.txt,2019,7,0.55826336
0500134.txt,2005,11,0.36388248
11018550-e02.txt,2011,4,0.38870865
10056490-s02.txt,2010,7,0.38372633
LA-1-309-L.txt,1977,17,0.40796152
18026050-M18.txt,2019,24,0.68048084
NOPADI-NG-4-129-L.txt,1993,22,0.26383474
18020090-Q07.txt,2019,7,0.48474002
06002170-r01-e.txt,2006,11,0.47790995
PADI-LF-4-755-L.txt,1983,20,0.69058585
15045780-t03.txt,2016,7,0.74857223
22071900-A03.txt,2022,11,0.5840181
NOPADI-NH-1-022-L.txt,1993,2,0.7022113
14067050-w06.txt,2015,4,0.32453328
22011500-A15.txt,2022,7,0.505964
22057320-O06.txt,2023,9,0.3131631
08002440-m04.txt,2008,7,0.4243357
0310154.txt,2003,21,0.32698682
PADI-LD-1-492-L.txt,1980,7,0.43620023
18042990-A03.txt,2018,11,0.4091731
0306671-padi.txt,2005,22,0.79236764
22047420-E07.txt,2022,21,0.3470308
08062430-r07.txt,2010,23,0.39003462
07007270-m15.txt,2011,7,0.89077747
06021710-n05.txt,2011,15,0.40848333
02109760-a06.txt,2003,11,0.5103298
18000930-Z09.txt,2018,7,0.4892941
17013080-V48.txt,2020,15,0.25097278
10025920-w04.txt,2010,11,0.4637569
03101910-r06-e.txt,2005,7,0.81798494
KF-2-169-L.txt,1973,16,0.40287685
21008750-B03.txt,2021,2,0.9469918
03056660-p17.txt,2007,15,0.51179177
0100156-padi.txt,2003,17,0.26993677
PADI-ND-2-024-L.txt,1991,18,0.34966195
01045550-a04.txt,2001,11,0.32533574
12079540-i10.txt,2013,11,0.4172471
05022930-r18.txt,2009,7,0.6626427
04000962.txt,2004,19,0.33086136
0000314.txt,2003,17,0.39180657
11028120-w05.txt,2011,7,0.67436856
00003200-G02.txt,2000,11,0.34864566
9700450.txt,1998,15,0.5062618
96013710.txt,1997,2,0.6311918
17040150-B15.txt,2019,17,0.41347954
PADI-NG-1-482-L.txt,1994,16,0.30810782
17080540-Z09.txt,2018,8,0.55675155
08013610-n05.txt,2008,1,0.7454942
0405931.txt,2004,22,0.4686089
06088060-t04-e.txt,2006,2,0.595434
18063720-N01.txt,2018,4,0.48866254
11013930-c09.txt,2011,7,0.55921805
NOPADI-NB-3-011-L.txt,1989,16,0.3481263
PADI-NG-2-844-L.txt,1994,13,0.43134445
05112280-n02-e.txt,2006,20,0.50191295
21003480-Z07.txt,2022,4,0.3003165
PADI-LF-4-085-L.txt,1983,19,0.36726472
08092130-b02.txt,2008,11,0.41056892
12065820-s03.txt,2012,7,0.51418906
05024180-v10-e.txt,2005,24,0.6890557
19030520-E04.txt,2019,3,0.37415397
22022100-M09.txt,2022,8,0.3116836
PADI-LH-3-337-L.txt,1985,20,0.3692727
17042260-A66.txt,2022,8,0.22336619
06021470-p24.txt,2009,8,0.2748317
10048880-n07.txt,2010,11,0.40281916
21030690-E01.txt,2021,11,0.9037694
19066680-A05.txt,2019,8,0.43143368
21037260-O08.txt,2021,8,0.3443268
NOPADI-ND-6-064-L.txt,1991,2,0.52499187
NOPADI-KH-8-023-L.txt,1985,13,0.31619364
21088800-N01.txt,2021,11,0.681618
08066960-w03.txt,2001,11,0.57627267
0302783-padi.txt,2003,7,0.27462476
07017940-m10.txt,2010,24,0.3933281
08078080-h02.txt,2008,7,0.7635594
11064940-z11.txt,2012,2,0.5650532
0409851.txt,2004,21,0.36059803
11055250-t05.txt,2012,5,0.25128895
07085550-c22.txt,2008,1,0.379901
06090150-t02-e.txt,2006,0,0.26449376
19004080-E12.txt,2021,17,0.38998362
05112130-14s-e.txt,2006,11,0.5312377
10093660-m07.txt,2012,7,0.47536615
12023780-b03.txt,2012,5,0.43628103
0303302.txt,2004,7,0.4829777
99017640.txt,1999,7,0.32468095
21039110-Y11.txt,2022,8,0.5301421
09035510-n01.txt,2009,18,0.45182085
21054630-R04.txt,2021,2,0.5921864
17036600-C20.txt,2017,15,0.2667529
PADI-N-1-159-L.txt,1986,16,0.45065188
12056100-z03.txt,2013,11,0.4402804
12070330-e01.txt,2012,2,0.5192014
7700329.txt,1977,16,0.46223894
11033000-e12.txt,2012,15,0.45082706
0207164.txt,2004,7,0.80307335
K-2-156-L.txt,1966,16,0.56715596
9909290.txt,2000,21,0.39782533
21046740-O08.txt,2022,8,0.7046045
0505272.txt,2005,21,0.49507344
08068030-o09.txt,2010,1,0.55104864
0204445.txt,2002,18,0.28885427
22055070-L04.txt,2022,2,0.42346266
21068710-O12.txt,2022,0,0.46765816
18013700-R04.txt,2018,2,0.83418137
13000210-o04.txt,2013,5,0.7426708
12021880-b09.txt,2013,10,0.43720204
22032330-J05.txt,2022,8,0.40722874
KF-1-449-L.txt,1973,16,0.40346232
12068840-k13.txt,2013,12,0.5621554
04086300-g03-e.txt,2005,21,0.30474707
07044080-m06.txt,2008,12,0.51693213
15007280-m07.txt,2015,8,0.44937372
