filename,years,max_year,num_unique_years
08081960-t08.txt,2009,2009,1
08037310-z10.txt,2010,2010,1
12028140-m10.txt,2013,2013,1
18053520-Y01.txt,2018,2018,1
10011950-t24.txt,"2012, 2014",2014,2
19052040-N04.txt,2019,2019,1
99013380-g05.txt,"1999, 1999",1999,1
padi-p-4-590-l.txt,"1996, 1977",1996,2
12052760-m10.txt,2014,2014,1
10011880-c38.txt,"2013, 2000",2013,2
03099140-s05-e.txt,2005,2005,1
18080660-E03.txt,2019,2019,1
20055290-Z01.txt,2020,2020,1
07081440-c01.txt,2007,2007,1
04063360-a14-e.txt,2006,2006,1
23009140-C02.txt,2023,2023,1
0109912.txt,2002,2002,1
18074630-A11.txt,"2018, 2019",2019,2
05106670-p09-e.txt,2006,2006,1
99002888-HK.txt,1999,1999,1
11036020-w04.txt,2011,2011,1
04033070-n06-e.txt,2005,2005,1
PADI-NA-4-757-L.txt,1989,1989,1
03047360-r25.txt,"2007, 2008",2008,2
18091230-B01.txt,2019,2019,1
16022500-t05.txt,2016,2016,1
99046220.txt,1999,1999,1
14040610-v04.txt,2014,2014,1
0210223.txt,2003,2003,1
20034200-B01.txt,"2020, 2020",2020,1
78000606-HK.txt,1979,1979,1
12088460-k06.txt,2013,2013,1
10084000-b02.txt,2011,2011,1
05091850-s02-e.txt,2005,2005,1
0201460.txt,2002,2002,1
12069040-h04.txt,2013,2013,1
15060970-c15.txt,2016,2016,1
23005170-X02.txt,"2023, 2012",2023,2
18065560-O22.txt,2020,2020,1
06042180-p05-e.txt,2006,2006,1
06024050-E04.txt,"2009, 2018",2018,2
05025320-n11-e.txt,2005,2005,1
0500243.txt,2005,2005,1
0404031.txt,2004,2004,1
11074850-p03.txt,2011,2011,1
05086090-v02-e.txt,2005,2005,1
96009209-HK.txt,1996,1996,1
20057830-Z06.txt,2022,2022,1
07007460-t38.txt,2011,2011,1
9706394.txt,"1999, 1997, 1999",1999,2
NOPADI-NG-8-115-L.txt,1995,1995,1
11036540-z02.txt,2012,2012,1
23000060-F01.txt,"2018, 2023",2023,2
19008610-Z12.txt,2019,2019,1
07107710-w24.txt,2010,2010,1
22049230-A09.txt,2022,2022,1
07047530-p02.txt,2008,2008,1
NOPADI-NH-8-095-L.txt,1994,1994,1
PADI-NA-4-693-L.txt,1989,1989,1
KG-1-337-L.txt,1973,1973,1
10016730-v06.txt,2010,2010,1
22018560-O15.txt,2022,2022,1
19024580-M35.txt,2023,2023,1
9104914.txt,1992,1992,1
99040240-m01.txt,1999,1999,1
KF-2-764-L.txt,1973,1973,1
15059130-t06.txt,2016,2016,1
11094040-t10.txt,"2010, 2014",2014,2
05066960-r17-e.txt,2007,2007,1
NOPADI-NX-3-015-L.txt,"1986, 1986",1986,1
padi-ng-4-591-l.txt,1994,1994,1
11059740-h03.txt,2011,2011,1
13064000-l06.txt,"2014, 2014, 2013",2014,2
16074840-O03.txt,2018,2018,1
NOPADI-NG-7-018-L.txt,1994,1994,1
12018480-t09.txt,2013,2013,1
06048860-t04-e.txt,2007,2007,1
19053590-F09.txt,2019,2019,1
19014820-N18.txt,2020,2020,1
10036290-p05.txt,2011,2011,1
22088290-Y02.txt,2023,2023,1
07109760-t02-e.txt,2007,2007,1
99000260.txt,2003,2003,1
0308375-padi.txt,2003,2003,1
09057360-r11.txt,2010,2010,1
0505312.txt,"2005, 2003, 2005",2005,2
15004260-t02.txt,2015,2015,1
NOPADI-PC-2-019-L.txt,1999,1999,1
16075750-m05.txt,2016,2016,1
18006280-M08.txt,2018,2018,1
18029240-O04.txt,2018,2018,1
07063240-m02-e.txt,2007,2007,1
12058230-s28.txt,"2014, 2013, 2014",2014,2
NOPADI-NF-4-067-L.txt,1995,1995,1
10017560-a12.txt,2013,2013,1
20089760-Z01.txt,2020,2020,1
80000161-HK.txt,1980,1980,1
10077600-k02.txt,2011,2011,1
0504781.txt,2005,2005,1
0504959.txt,2005,2005,1
10088440-n07.txt,"2011, 2011",2011,1
18061280-E04.txt,2018,2018,1
11001650-v07.txt,2013,2013,1
padi-nf-3-036-l.txt,1993,1993,1
15015740-l02.txt,2015,2015,1
16058990-l02.txt,2016,2016,1
NOPADI-NB-7-038-L.txt,"1989, 1989, 1989",1989,1
07078500-c03-e.txt,2007,2007,1
08019010-c23.txt,2012,2012,1
0400982-padi.txt,"2003, 2004, 2004",2004,2
12040960-c25.txt,2014,2014,1
NOPADI-NG-3-255-L.txt,1993,1993,1
19022110-O14.txt,2020,2020,1
PADI-NC-3-317-L.txt,1990,1990,1
07043460-h04-e.txt,2007,2007,1
PADI-NC-2-601-L.txt,1990,1990,1
11077930-c02.txt,2011,2011,1
22071000-N03.txt,2022,2022,1
PADI-NB-3-078-L.txt,"1989, 1989, 1989, 1989, 1989, 1989, 1989",1989,1
12076120-m40.txt,2015,2015,1
05070780-t10-e.txt,"2008, 2005",2008,2
05084180-s02-e.txt,"2005, 2005",2005,1
07032130-t04-e.txt,2008,2008,1
17067690-V16.txt,2018,2018,1
KE-2-403-L.txt,1972,1972,1
22028270-M14.txt,2023,2023,1
06089610-b21.txt,2008,2008,1
PADI-LH-2-701-L.txt,1985,1985,1
07068690-b05-e.txt,2007,2007,1
07005560-r02-e.txt,2007,2007,1
10085310-m08.txt,2011,2011,1
0101975a.txt,2002,2002,1
05111990-a02-e.txt,2006,2006,1
0207560.txt,2002,2002,1
07052510-r04.txt,2007,2007,1
16029600-o04.txt,2016,2016,1
0109293.txt,2002,2002,1
22058500-C02.txt,2022,2022,1
KG-2-652-L.txt,1974,1974,1
07013890-o04-e.txt,2007,2007,1
06073480-n04-e.txt,2006,2006,1
PADI-NC-2-031-L.txt,1990,1990,1
10078990-w01.txt,2010,2010,1
09016810-n05.txt,2009,2009,1
07005630-r01-e.txt,2007,2007,1
19082360-Y07.txt,2020,2020,1
padi-le-2-001-l.txt,1982,1982,1
20036970-Y03.txt,2020,2020,1
PADI-LE-2-495-L.txt,1982,1982,1
02010784.txt,2004,2004,1
21053220-O09.txt,2021,2021,1
06081560-e.txt,2007,2007,1
0410253.txt,2005,2005,1
21085870-R01.txt,2021,2021,1
14064940-o11.txt,2016,2016,1
21056320-F06.txt,2021,2021,1
16093560-m05.txt,2016,2016,1
11091680-l16.txt,"2011, 2000, 2008, 2002, 2001, 2013",2013,6
PADI-NX-2-656-L.txt,1987,1987,1
06050940-r02.txt,2007,2007,1
22059330-C06.txt,2022,2022,1
20031900-Y01.txt,2020,2020,1
19051660-M01.txt,2019,2019,1
09087160-v02.txt,2009,2009,1
05086350-v13-e.txt,2007,2007,1
0407075.txt,2004,2004,1
18012270-O10.txt,"2018, 2020",2020,2
0300233.txt,2003,2003,1
22008910-F03.txt,2022,2022,1
04053920-n04.txt,2004,2004,1
17013260-E23.txt,2019,2019,1
20020070-N04.txt,"2018, 2022",2022,2
03011050-v16-e.txt,"2003, 2006",2006,2
10086250-b14.txt,2013,2013,1
PADI-LF-3-571-L.txt,1983,1983,1
06100210-o08.txt,2008,2008,1
05073780-e.txt,2005,2005,1
05067020-p27.txt,2009,2009,1
20035710-E11.txt,2022,2022,1
20090220-G12.txt,2022,2022,1
06063490-f01-e.txt,"2005, 2006, 2005, 2006",2006,2
0203799-padi.txt,2005,2005,1
0306871.txt,2003,2003,1
07078900-c05-e.txt,2007,2007,1
05077720-p04-e.txt,2005,2005,1
06043870-n20.txt,2010,2010,1
9703039.txt,1997,1997,1
09057560-t04.txt,2009,2009,1
11005660-c32.txt,"2010, 2014",2014,2
13002500-t16.txt,"2016, 2016",2016,1
11085010-c01.txt,2011,2011,1
05107130-t02-e.txt,2005,2005,1
KH-2-804-L.txt,1975,1975,1
06100630-v06-e.txt,2007,2007,1
PADI-NX-1-197-L.txt,1987,1987,1
